"Country or Area";"Value"
"Afghanistan";"0.00"
"Albania";"219.70"
"Algeria";"0.00"
"American Samoa";"0.11"
"Andorra";"0.49"
"Angola";"587.98"
"Antigua and Barbuda";"0.44"
"Argentina";"3744.00"
"Armenia";"0.00"
"Aruba";"0.22"
"Australia";"0.00"
"Austria";"149.86"
"Azerbaijan";"0.00"
"Bahamas";"0.88"
"Bahrain";"0.00"
"Bangladesh";"1342.65"
"Barbados";"0.77"
"Belarus";"1223.42"
"Belgium";"95.47"
"Belize";"10.94"
"Benin";"306.41"
"Bermuda";"0.03"
"Bhutan";"2.30"
"Bolivia (Plurinational State of)";"0.00"
"Bosnia and Herzegovina";"0.00"
"Botswana";"0.00"
"Brazil";"5006.26"
"British Virgin Islands";"0.11"
"Brunei Darussalam";"0.35"
"Bulgaria";"127.29"
"Burkina Faso";"629.19"
"Burundi";"71.73"
"Cabo Verde";"5.47"
"Cambodia";"1.26"
"Cameroon";"678.48"
"Canada";"5239.00"
"Cayman Islands";"0.02"
"Central African Republic";"196.98"
"Chad";"579.99"
"Channel Islands";"0.40"
"Chile";"21.00"
"China, Hong Kong SAR";"0.22"
"China, mainland";"11913.02"
"Colombia";"0.00"
"Comoros";"7.11"
"Congo";"60.19"
"Cook Islands";"0.00"
"Costa Rica";"0.00"
"Côte d'Ivoire";"383.01"
"Croatia";"73.00"
"Cuba";"123.90"
"Cyprus";"0.56"
"Czechia";"43.66"
"Democratic People's Republic of Korea";"242.29"
"Democratic Republic of the Congo";"1497.03"
"Denmark";"493.00"
"Djibouti";"0.33"
"Dominica";"0.66"
"Dominican Republic";"95.97"
"Ecuador";"0.00"
"Egypt";"503.17"
"El Salvador";"267.60"
"Equatorial Guinea";"5.80"
"Eritrea";"75.51"
"Estonia";"178.00"
"Eswatini";"2.97"
"Ethiopia";"1764.00"
"Faroe Islands";"0.01"
"Fiji";"20.10"
"Finland";"798.00"
"France";"3157.45"
"French Guiana";"0.46"
"French Polynesia";"0.27"
"Gabon";"35.57"
"Gambia";"48.15"
"Georgia";"5.90"
"Germany";"3008.00"
"Ghana";"515.31"
"Greece";"0.00"
"Grenada";"0.33"
"Guadeloupe";"0.05"
"Guam";"0.11"
"Guatemala";"0.00"
"Guinea";"0.00"
"Guinea-Bissau";"32.83"
"Guyana";"45.96"
"Haiti";"217.87"
"Honduras";"111.40"
"Hungary";"72.61"
"Iceland";"115.00"
"India";"10565.60"
"Indonesia";"1843.04"
"Iran (Islamic Republic of)";"0.00"
