"Country or Area";"% Permanent Pasture";"% Temporary Pasture";"% Overall Pastureland"
"Afghanistan";"46.353";"0.0";"46.353"
"Albania";"15.6104";"7.6417";"23.2522"
"Algeria";"13.7742";"0.0";"13.7742"
"American Samoa";"0.0";"0.55";"0.55"
"Andorra";"38.2979";"1.0426";"39.3404"
"Angola";"32.2507";"0.4716";"32.7224"
"Antigua and Barbuda";"9.0909";"1.0";"10.0909"
"Argentina";"26.8598";"1.3466";"28.2064"
"Armenia";"39.3779";"0.0";"39.3779"
"Aruba";"0.0";"1.2222";"1.2222"
"Australia";"42.8704";"0.0";"42.8704"
"Austria";"14.4253";"1.7866";"16.2119"
"Azerbaijan";"27.9157";"0.0";"27.9157"
"Bahamas";"0.1441";"0.0634";"0.2075"
"Bahrain";"5.0633";"0.0";"5.0633"
"Bangladesh";"4.0659";"9.0984";"13.1643"
"Barbados";"4.6512";"1.7907";"6.4419"
"Belarus";"11.8191";"5.8923";"17.7114"
"Belgium";"15.6004";"3.1271";"18.7275"
"Belize";"2.1768";"0.4763";"2.653"
"Benin";"4.7926";"2.67";"7.4626"
"Bermuda";"0.0";"0.007";"0.007"
"Bhutan";"10.758";"0.0599";"10.8179"
"Bolivia (Plurinational State of)";"30.0388";"0.0";"30.0388"
"Bosnia and Herzegovina";"22.398";"0.0";"22.398"
"Botswana";"44.0067";"0.0";"44.0067"
"Brazil";"20.3576";"0.5879";"20.9455"
"British Virgin Islands";"33.3333";"0.7333";"34.0667"
"Brunei Darussalam";"0.5893";"0.0607";"0.6499"
"Bulgaria";"12.5863";"1.1468";"13.7331"
"Burkina Faso";"21.8802";"2.2945";"24.1747"
"Burundi";"17.3554";"2.5774";"19.9328"
"Cabo Verde";"6.2035";"1.3573";"7.5608"
"Cambodia";"8.2855";"0.007";"8.2924"
"Cameroon";"4.2066";"1.4271";"5.6337"
"Canada";"1.1871";"0.3351";"1.5222"
"Cayman Islands";"7.5758";"0.0758";"7.6515"
"Central African Republic";"4.7995";"0.3162";"5.1157"
"Chad";"35.0467";"0.4517";"35.4984"
"Channel Islands";"24.9495";"2.0202";"26.9697"
"Chile";"11.6078";"0.0278";"11.6356"
"China, Hong Kong SAR";"0.9009";"0.1982";"1.0991"
"China, mainland";"41.0788";"1.2458";"42.3246"
"Colombia";"33.5081";"0.0";"33.5081"
"Comoros";"8.0602";"3.8205";"11.8807"
"Congo";"29.2398";"0.176";"29.4158"
"Cook Islands";"0.0";"0.0";"0.0"
"Costa Rica";"23.4834";"0.0";"23.4834"
"Croatia";"6.1315";"0.8289";"6.9604"
"Cuba";"25.8409";"1.1276";"26.9685"
"Cyprus";"0.2368";"0.0605";"0.2973"
"Czechia";"12.749";"0.5536";"13.3026"
"Côte d'Ivoire";"40.9353";"1.1878";"42.1231"
"Democratic People's Republic of Korea";"0.4148";"2.01";"2.4248"
"Democratic Republic of the Congo";"7.7617";"0.6384";"8.4001"
"Denmark";"5.452";"11.4865";"16.9385"
"Djibouti";"73.2759";"0.0142";"73.2901"
"Dominica";"2.6667";"0.88";"3.5467"
"Dominican Republic";"8.1518";"0.6536";"8.8053"
"Ecuador";"11.7916";"0.0";"11.7916"
"Egypt";"0.0";"0.5024";"0.5024"
"El Salvador";"14.9572";"12.7186";"27.6759"
"Equatorial Guinea";"0.1754";"0.2068";"0.3822"
"Eritrea";"56.7293";"0.6208";"57.3501"
"Estonia";"6.2197";"3.9259";"10.1456"
"Eswatini";"57.6037";"0.1711";"57.7748"
"Ethiopia";"17.6019";"1.5525";"19.1544"
"Falkland Islands (Malvinas)";"92.8677";"0.0";"92.8677"
"Faroe Islands";"7.4074";"0.0008";"7.4082"
"Fiji";"9.4691";"1.1002";"10.5692"
"Finland";"0.062";"2.3577";"2.4197"
"France";"17.453";"5.7504";"23.2034"
"French Guiana";"0.1639";"0.0055";"0.1694"
"French Polynesia";"5.762";"0.0778";"5.8398"
"Gabon";"6.1951";"0.1329";"6.328"
"Gambia";"16.5487";"4.2611";"20.8097"
"Georgia";"27.8336";"0.0846";"27.9182"
"Germany";"13.2274";"8.4119";"21.6393"
"Ghana";"21.7425";"2.1604";"23.9029"
"Greece";"20.0593";"0.0";"20.0593"
"Greenland";"0.5923";"0.0";"0.5923"
"Grenada";"2.9412";"0.9706";"3.9118"
"Guadeloupe";"15.5215";"0.0307";"15.5521"
"Guam";"14.8148";"0.2037";"15.0185"
"Guatemala";"17.2192";"0.0";"17.2192"
"Guinea";"43.5207";"0.0";"43.5207"
"Guinea-Bissau";"7.3377";"0.9087";"8.2463"
"Guyana";"2.7632";"0.2138";"2.977"
"Haiti";"17.6577";"7.8512";"25.5088"
"Honduras";"17.406";"0.9903";"18.3963"
"Hungary";"8.1102";"0.7805";"8.8907"
"Iceland";"17.0";"1.1165";"18.1165"
"India";"3.1881";"3.2141";"6.4022"
"Indonesia";"5.7384";"0.9615";"6.6999"
"Iran (Islamic Republic of)";"16.8908";"0.0";"16.8908"
"Iraq";"9.1599";"0.0";"9.1599"
"Ireland";"55.5065";"1.0529";"56.5595"
"Isle of Man";"28.0702";"34.7368";"62.807"
"Israel";"7.4309";"0.0";"7.4309"
"Italy";"10.0693";"8.0594";"18.1287"
"Jamaica";"20.8371";"1.1947";"22.0318"
"Japan";"0.8202";"2.6483";"3.4685"
"Jordan";"8.3074";"0.0";"8.3074"
"Kazakhstan";"67.5233";"1.0583";"68.5816"
"Kenya";"36.7007";"1.6436";"38.3443"
"Kiribati";"0.0";"0.2716";"0.2716"
"Kuwait";"7.6319";"0.0494";"7.6813"
"Kyrgyzstan";"45.0213";"1.4148";"46.4361"
"Lao People's Democratic Republic";"2.859";"0.0";"2.859"
"Latvia";"9.2739";"4.592";"13.8659"
"Lebanon";"38.2775";"0.0";"38.2775"
"Lesotho";"65.8762";"0.0";"65.8762"
"Liberia";"10.9818";"0.4913";"11.4731"
"Libya";"7.5588";"0.107";"7.6658"
"Liechtenstein";"21.5";"1.1875";"22.6875"
"Lithuania";"9.5359";"3.6637";"13.1996"
"Luxembourg";"26.4633";"5.1004";"31.5637"
"Madagascar";"63.503";"0.559";"64.062"
"Malawi";"15.6144";"3.6945";"19.309"
"Malaysia";"0.8626";"0.2784";"1.141"
"Maldives";"3.3333";"1.4333";"4.7667"
"Mali";"27.9312";"0.2911";"28.2223"
"Malta";"0.0";"0.0";"0.0"
"Marshall Islands";"0.0";"0.2778";"0.2778"
"Martinique";"12.7345";"0.177";"12.9115"
"Mauritania";"38.0809";"0.0478";"38.1287"
"Mauritius";"3.4878";"4.0907";"7.5785"
"Mayotte";"0.0535";"6.016";"6.0695"
"Mexico";"37.7866";"0.9718";"38.7584"
"Micronesia (Federated States of)";"4.2857";"0.3143";"4.6"
"Mongolia";"71.1542";"0.0";"71.1542"
"Montenegro";"17.4584";"0.1014";"17.5597"
"Montserrat";"10.0";"2.2";"12.2"
"Morocco";"47.0272";"1.0436";"48.0708"
"Mozambique";"44.3642";"1.0924";"45.4566"
"Myanmar";"0.7094";"0.0";"0.7094"
"Namibia";"46.1003";"0.1062";"46.2065"
"Nepal";"12.198";"0.0557";"12.2537"
"Netherlands (Kingdom of the)";"18.5604";"5.1276";"23.688"
"New Caledonia";"9.3827";"0.0";"9.3827"
"New Zealand";"35.4301";"0.2518";"35.6819"
"Nicaragua";"25.2512";"0.0";"25.2512"
"Niger";"22.7167";"1.5288";"24.2454"
"Nigeria";"27.2492";"4.368";"31.6172"
"Niue";"3.8462";"0.6923";"4.5385"
"Norfolk Island";"25.0";"0.0";"25.0"
