"Country or Area";"Element";"Year";"Unit";"Value";"Value Footnotes"
"Afghanistan";"Area";"2021";"1000 ha";"30262.00";""
"Africa";"Area";"2021";"1000 ha";"868486.76";""
"Albania";"Area";"2021";"1000 ha";"448.80";""
"Algeria";"Area";"2021";"1000 ha";"32806.50";""
"American Samoa";"Area";"2021";"1000 ha";"0.00";""
"Americas";"Area";"2021";"1000 ha";"747339.10";""
"Andorra";"Area";"2021";"1000 ha";"18.00";""
"Angola";"Area";"2021";"1000 ha";"40207.00";""
"Antigua and Barbuda";"Area";"2021";"1000 ha";"4.00";""
"Argentina";"Area";"2021";"1000 ha";"74681.00";""
"Armenia";"Area";"2021";"1000 ha";"1171.10";""
"Asia";"Area";"2021";"1000 ha";"1077755.95";""
"Australia";"Area";"2021";"1000 ha";"331869.00";""
"Australia and New Zealand";"Area";"2021";"1000 ha";"341355.00";""
"Austria";"Area";"2021";"1000 ha";"1209.98";""
"Azerbaijan";"Area";"2021";"1000 ha";"2417.50";""
"Bahamas";"Area";"2021";"1000 ha";"2.00";""
"Bahrain";"Area";"2021";"1000 ha";"4.00";""
"Bangladesh";"Area";"2021";"1000 ha";"600.00";""
"Barbados";"Area";"2021";"1000 ha";"2.00";""
"Belarus";"Area";"2021";"1000 ha";"2454.00";""
"Belgium";"Area";"2021";"1000 ha";"476.28";""
"Belize";"Area";"2021";"1000 ha";"50.00";""
"Benin";"Area";"2021";"1000 ha";"550.00";""
"Bhutan";"Area";"2021";"1000 ha";"413.00";""
"Bolivia (Plurinational State of)";"Area";"2021";"1000 ha";"33000.00";""
"Bosnia and Herzegovina";"Area";"2021";"1000 ha";"1147.00";""
"Botswana";"Area";"2021";"1000 ha";"25600.00";""
"Brazil";"Area";"2021";"1000 ha";"173360.80";""
"British Virgin Islands";"Area";"2021";"1000 ha";"5.00";""
"Brunei Darussalam";"Area";"2021";"1000 ha";"3.40";""
"Bulgaria";"Area";"2021";"1000 ha";"1397.08";""
"Burkina Faso";"Area";"2021";"1000 ha";"6000.00";""
"Burundi";"Area";"2021";"1000 ha";"483.00";""
"Cabo Verde";"Area";"2021";"1000 ha";"25.00";""
"Cambodia";"Area";"2021";"1000 ha";"1500.00";""
"Cameroon";"Area";"2021";"1000 ha";"2000.00";""
"Canada";"Area";"2021";"1000 ha";"18560.00";""
"Caribbean";"Area";"2021";"1000 ha";"4929.26";""
"Cayman Islands";"Area";"2021";"1000 ha";"2.00";""
"Central African Republic";"Area";"2021";"1000 ha";"2990.00";""
"Central America";"Area";"2021";"1000 ha";"84425.70";""
"Central Asia";"Area";"2021";"1000 ha";"249962.30";""
"Chad";"Area";"2021";"1000 ha";"45000.00";""
"Channel Islands";"Area";"2021";"1000 ha";"4.94";""
"Chile";"Area";"2021";"1000 ha";"8783.64";""
"China";"Area";"2021";"1000 ha";"392834.00";""
"China, Hong Kong SAR";"Area";"2021";"1000 ha";"1.00";""
"China, mainland";"Area";"2021";"1000 ha";"392833.00";""
"Colombia";"Area";"2021";"1000 ha";"38220.00";""
"Comoros";"Area";"2021";"1000 ha";"15.00";""
"Congo";"Area";"2021";"1000 ha";"10000.00";""
"Costa Rica";"Area";"2021";"1000 ha";"1200.00";""
"Côte d'Ivoire";"Area";"2021";"1000 ha";"13200.00";""
"Croatia";"Area";"2021";"1000 ha";"540.00";""
"Cuba";"Area";"2021";"1000 ha";"2839.40";""
"Cyprus";"Area";"2021";"1000 ha";"2.19";""
"Czechia";"Area";"2021";"1000 ha";"1005.53";""
"Democratic People's Republic of Korea";"Area";"2021";"1000 ha";"50.00";""
"Democratic Republic of the Congo";"Area";"2021";"1000 ha";"18200.00";""
"Denmark";"Area";"2021";"1000 ha";"234.00";""
"Djibouti";"Area";"2021";"1000 ha";"1700.00";""
"Dominica";"Area";"2021";"1000 ha";"2.00";""
"Dominican Republic";"Area";"2021";"1000 ha";"1197.00";""
"Eastern Africa";"Area";"2021";"1000 ha";"255598.71";""
"Eastern Asia";"Area";"2021";"1000 ha";"504543.40";""
"Eastern Europe";"Area";"2021";"1000 ha";"113177.79";""
"Ecuador";"Area";"2021";"1000 ha";"3023.00";""
"El Salvador";"Area";"2021";"1000 ha";"314.70";""
"Equatorial Guinea";"Area";"2021";"1000 ha";"4.92";""
"Eritrea";"Area";"2021";"1000 ha";"6900.00";""
"Estonia";"Area";"2021";"1000 ha";"282.00";""
"Eswatini";"Area";"2021";"1000 ha";"1000.00";""
"Ethiopia";"Area";"2021";"1000 ha";"20000.00";""
"Europe";"Area";"2021";"1000 ha";"172104.56";""
"European Union (27)";"Area";"2021";"1000 ha";"52119.46";""
"Falkland Islands (Malvinas)";"Area";"2021";"1000 ha";"1130.20";""
