"Country or Area";"Element";"Year";"Unit";"Value";"Value Footnotes"
"Afghanistan";"Area";"2021";"1000 ha";"0.00";""
"Africa";"Area";"2021";"1000 ha";"21187.32";""
"Albania";"Area";"2021";"1000 ha";"219.70";""
"Algeria";"Area";"2021";"1000 ha";"0.00";""
"American Samoa";"Area";"2021";"1000 ha";"0.11";""
"Americas";"Area";"2021";"1000 ha";"23436.87";""
"Andorra";"Area";"2021";"1000 ha";"0.49";""
"Angola";"Area";"2021";"1000 ha";"587.98";""
"Antigua and Barbuda";"Area";"2021";"1000 ha";"0.44";""
"Argentina";"Area";"2021";"1000 ha";"3744.00";""
"Armenia";"Area";"2021";"1000 ha";"0.00";""
"Aruba";"Area";"2021";"1000 ha";"0.22";""
"Asia";"Area";"2021";"1000 ha";"36704.88";""
"Australia";"Area";"2021";"1000 ha";"0.00";""
"Australia and New Zealand";"Area";"2021";"1000 ha";"67.41";""
"Austria";"Area";"2021";"1000 ha";"149.86";""
"Azerbaijan";"Area";"2021";"1000 ha";"0.00";""
"Bahamas";"Area";"2021";"1000 ha";"0.88";""
"Bahrain";"Area";"2021";"1000 ha";"0.00";""
"Bangladesh";"Area";"2021";"1000 ha";"1342.65";""
"Barbados";"Area";"2021";"1000 ha";"0.77";""
"Belarus";"Area";"2021";"1000 ha";"1223.42";""
"Belgium";"Area";"2021";"1000 ha";"95.47";""
"Belize";"Area";"2021";"1000 ha";"10.94";""
"Benin";"Area";"2021";"1000 ha";"306.41";""
"Bermuda";"Area";"2021";"1000 ha";"0.03";""
"Bhutan";"Area";"2021";"1000 ha";"2.30";""
"Bolivia (Plurinational State of)";"Area";"2021";"1000 ha";"0.00";""
"Bosnia and Herzegovina";"Area";"2021";"1000 ha";"0.00";""
"Botswana";"Area";"2021";"1000 ha";"0.00";""
"Brazil";"Area";"2021";"1000 ha";"5006.26";""
"British Virgin Islands";"Area";"2021";"1000 ha";"0.11";""
"Brunei Darussalam";"Area";"2021";"1000 ha";"0.35";""
"Bulgaria";"Area";"2021";"1000 ha";"127.29";""
"Burkina Faso";"Area";"2021";"1000 ha";"629.19";""
"Burundi";"Area";"2021";"1000 ha";"71.73";""
"Cabo Verde";"Area";"2021";"1000 ha";"5.47";""
"Cambodia";"Area";"2021";"1000 ha";"1.26";""
"Cameroon";"Area";"2021";"1000 ha";"678.48";""
"Canada";"Area";"2021";"1000 ha";"5239.00";""
"Caribbean";"Area";"2021";"1000 ha";"472.25";""
"Cayman Islands";"Area";"2021";"1000 ha";"0.02";""
"Central African Republic";"Area";"2021";"1000 ha";"196.98";""
"Central America";"Area";"2021";"1000 ha";"2323.51";""
"Central Asia";"Area";"2021";"1000 ha";"3818.53";""
"Chad";"Area";"2021";"1000 ha";"579.99";""
"Channel Islands";"Area";"2021";"1000 ha";"0.40";""
"Chile";"Area";"2021";"1000 ha";"21.00";""
"China";"Area";"2021";"1000 ha";"11992.96";""
"China, Hong Kong SAR";"Area";"2021";"1000 ha";"0.22";""
"China, mainland";"Area";"2021";"1000 ha";"11913.02";""
"Other non-specified areas";"Area";"2021";"1000 ha";"79.72";""
"Colombia";"Area";"2021";"1000 ha";"0.00";""
"Comoros";"Area";"2021";"1000 ha";"7.11";""
"Congo";"Area";"2021";"1000 ha";"60.19";""
"Cook Islands";"Area";"2021";"1000 ha";"0.00";""
"Costa Rica";"Area";"2021";"1000 ha";"0.00";""
"Côte d'Ivoire";"Area";"2021";"1000 ha";"383.01";""
"Croatia";"Area";"2021";"1000 ha";"73.00";""
"Cuba";"Area";"2021";"1000 ha";"123.90";""
"Cyprus";"Area";"2021";"1000 ha";"0.56";""
"Czechia";"Area";"2021";"1000 ha";"43.66";""
"Democratic People's Republic of Korea";"Area";"2021";"1000 ha";"242.29";""
