"Country or Area";"Element";"Year";"Unit";"Value";"Value Footnotes"
"Afghanistan";"Area";"2021";"1000 ha";"65286.00";""
"Africa";"Area";"2021";"1000 ha";"3037364.09";""
"Albania";"Area";"2021";"1000 ha";"2875.00";""
"Algeria";"Area";"2021";"1000 ha";"238174.10";""
"American Samoa";"Area";"2021";"1000 ha";"20.00";""
"Americas";"Area";"2021";"1000 ha";"4650297.94";""
"Andorra";"Area";"2021";"1000 ha";"47.00";""
"Angola";"Area";"2021";"1000 ha";"124670.00";""
"Anguilla";"Area";"2021";"1000 ha";"9.00";""
"Antigua and Barbuda";"Area";"2021";"1000 ha";"44.00";""
"Argentina";"Area";"2021";"1000 ha";"278040.00";""
"Armenia";"Area";"2021";"1000 ha";"2974.00";""
"Aruba";"Area";"2021";"1000 ha";"18.00";""
"Asia";"Area";"2021";"1000 ha";"3199896.27";""
"Australia";"Area";"2021";"1000 ha";"774122.00";""
"Australia and New Zealand";"Area";"2021";"1000 ha";"800897.00";""
"Austria";"Area";"2021";"1000 ha";"8387.90";""
"Azerbaijan";"Area";"2021";"1000 ha";"8660.00";""
"Bahamas";"Area";"2021";"1000 ha";"1388.00";""
"Bahrain";"Area";"2021";"1000 ha";"79.00";""
"Bangladesh";"Area";"2021";"1000 ha";"14757.00";""
"Barbados";"Area";"2021";"1000 ha";"43.00";""
"Belarus";"Area";"2021";"1000 ha";"20763.00";""
"Belgium";"Area";"2021";"1000 ha";"3053.00";""
"Belize";"Area";"2021";"1000 ha";"2297.00";""
"Benin";"Area";"2021";"1000 ha";"11476.00";""
"Bermuda";"Area";"2021";"1000 ha";"429.00";""
"Bhutan";"Area";"2021";"1000 ha";"3839.00";""
"Bolivia (Plurinational State of)";"Area";"2021";"1000 ha";"109858.00";""
"Bonaire, Sint Eustatius and Saba";"Area";"2021";"1000 ha";"32.20";""
"Bosnia and Herzegovina";"Area";"2021";"1000 ha";"5121.00";""
"Botswana";"Area";"2021";"1000 ha";"58173.00";""
"Brazil";"Area";"2021";"1000 ha";"851577.00";""
"British Virgin Islands";"Area";"2021";"1000 ha";"15.00";""
"Brunei Darussalam";"Area";"2021";"1000 ha";"577.00";""
"Bulgaria";"Area";"2021";"1000 ha";"11100.00";""
"Burkina Faso";"Area";"2021";"1000 ha";"27422.00";""
"Burundi";"Area";"2021";"1000 ha";"2783.00";""
"Cabo Verde";"Area";"2021";"1000 ha";"403.00";""
"Cambodia";"Area";"2021";"1000 ha";"18104.00";""
"Cameroon";"Area";"2021";"1000 ha";"47544.00";""
"Canada";"Area";"2021";"1000 ha";"1563441.00";""
"Caribbean";"Area";"2021";"1000 ha";"33228.33";""
"Cayman Islands";"Area";"2021";"1000 ha";"26.40";""
"Central African Republic";"Area";"2021";"1000 ha";"62298.00";""
"Central America";"Area";"2021";"1000 ha";"248655.50";""
"Central Asia";"Area";"2021";"1000 ha";"400325.30";""
"Chad";"Area";"2021";"1000 ha";"128400.00";""
"Channel Islands";"Area";"2021";"1000 ha";"19.80";""
"Chile";"Area";"2021";"1000 ha";"75670.00";""
"China";"Area";"2021";"1000 ha";"960001.30";""
"China, Hong Kong SAR";"Area";"2021";"1000 ha";"111.00";""
"China, Macao SAR";"Area";"2021";"1000 ha";"3.30";""
"China, mainland";"Area";"2021";"1000 ha";"956291.00";""
"Other non-specified areas";"Area";"2021";"1000 ha";"3596.00";""
"Colombia";"Area";"2021";"1000 ha";"114061.91";""
"Comoros";"Area";"2021";"1000 ha";"186.10";""
"Congo";"Area";"2021";"1000 ha";"34200.00";""
"Cook Islands";"Area";"2021";"1000 ha";"24.00";""
"Costa Rica";"Area";"2021";"1000 ha";"5110.00";""
"Côte d'Ivoire";"Area";"2021";"1000 ha";"32246.00";""
"Croatia";"Area";"2021";"1000 ha";"8807.00";""
"Cuba";"Area";"2021";"1000 ha";"10988.00";""
"Curaçao";"Area";"2021";"1000 ha";"44.40";""
"Cyprus";"Area";"2021";"1000 ha";"925.00";""
"Czechia";"Area";"2021";"1000 ha";"7887.10";""
"Democratic People's Republic of Korea";"Area";"2021";"1000 ha";"12054.00";""
"Democratic Republic of the Congo";"Area";"2021";"1000 ha";"234486.00";""
"Denmark";"Area";"2021";"1000 ha";"4292.00";""
"Djibouti";"Area";"2021";"1000 ha";"2320.00";""
"Dominica";"Area";"2021";"1000 ha";"75.00";""
"Dominican Republic";"Area";"2021";"1000 ha";"14683.93";""
"Eastern Africa";"Area";"2021";"1000 ha";"704474.99";""
"Eastern Asia";"Area";"2021";"1000 ha";"1176307.30";""
"Eastern Europe";"Area";"2021";"1000 ha";"1882632.10";""
"Ecuador";"Area";"2021";"1000 ha";"25637.00";""
"Egypt";"Area";"2021";"1000 ha";"100145.00";""
"El Salvador";"Area";"2021";"1000 ha";"2104.00";""
"Equatorial Guinea";"Area";"2021";"1000 ha";"2805.00";""
"Eritrea";"Area";"2021";"1000 ha";"12163.03";""
"Estonia";"Area";"2021";"1000 ha";"4534.00";""
"Eswatini";"Area";"2021";"1000 ha";"1736.00";""
"Ethiopia";"Area";"2021";"1000 ha";"113623.95";""
"Europe";"Area";"2021";"1000 ha";"2341976.94";""
